EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1425416100,33.15,33.15,33.15,33.15,344
2,33.15,33.15,33.15,33.15,100
4,33.15,33.15,33.15,33.15,2100
5,33.15,33.15,33.15,33.15,897
a1425479400,33.09,33.09,33.09,33.09,2177
6,33,33,33,33,400
8,32.97,32.97,32.97,32.97,202
10,32.93,32.95,32.93,32.95,1109
12,32.9,32.9,32.9,32.9,100
15,32.86,32.86,32.86,32.86,760
18,32.89,32.89,32.89,32.89,7024
36,32.9,32.9,32.9,32.9,200
178,33.049,33.049,33.049,33.049,100
228,33.03,33.03,33.03,33.03,1200
254,33.05,33.05,33.05,33.05,800
268,32.99,32.99,32.99,32.99,4600
271,32.99,32.99,32.99,32.99,300
302,33,33,33,33,600
306,33,33,33,33,3400
309,33.01,33.01,33.01,33.01,400
317,33.03,33.03,33.03,33.03,3300
318,33.05,33.05,33.05,33.05,100
322,33.06,33.06,33.06,33.06,700
335,33.07,33.07,33.07,33.07,100
343,33.06,33.06,33.06,33.06,100
346,33.06,33.06,33.06,33.06,500
351,33.05,33.05,33.05,33.05,848
353,33.04,33.04,33.04,33.04,200
354,33.05,33.05,33.05,33.05,1527
359,33.05,33.05,33.05,33.05,100
365,33.07,33.07,33.07,33.07,200
371,33.04,33.04,33.04,33.04,200
383,33.02,33.02,33.02,33.02,573
385,33.01,33.01,33.01,33.01,300
387,33.01,33.01,33.01,33.01,100
389,33.03,33.03,33.02,33.02,1100
a1425565800,33.16,33.16,33.16,33.16,4489
3,33.05,33.05,33.05,33.05,100
7,33.02,33.02,33.02,33.02,150
21,33.07,33.07,33.07,33.07,300
28,33.08,33.08,33.08,33.08,100
42,33.075,33.09,33.075,33.09,1100
43,33.075,33.075,33.07,33.07,600
48,33.06,33.06,33.06,33.06,300
72,33.08,33.08,33.08,33.08,2088
85,33.09,33.09,33.09,33.09,700
124,33.04,33.04,33.04,33.04,114
165,33.04,33.04,33.04,33.04,500
169,33.02,33.02,33.02,33.02,1000
170,33.02,33.02,33.02,33.02,6800
171,33,33,33,33,500
193,33.01,33.01,33.01,33.01,3300
194,32.99,32.99,32.99,32.99,400
202,32.94,32.94,32.94,32.94,200
212,32.92,32.92,32.92,32.92,300
226,32.94,32.94,32.94,32.94,600
228,32.95,32.95,32.95,32.95,100
232,32.95,32.95,32.95,32.95,600
234,32.93,32.93,32.92,32.92,800
241,32.95,32.95,32.95,32.95,600
242,32.97,32.97,32.94,32.95,3710
261,32.99,32.99,32.99,32.99,100
288,33.03,33.03,33.03,33.03,100
304,33.02,33.02,33.02,33.02,2400
309,33.01,33.01,33.01,33.01,100
311,33.01,33.01,33.01,33.01,100
312,33.03,33.03,33.03,33.03,100
314,33,33.02,33,33.02,800
317,33.01,33.01,33.01,33.01,100
320,33,33,33,33,200
321,33,33,33,33,100
324,33.06,33.06,33.06,33.06,100
325,33.07,33.07,33.07,33.07,100
330,33.06,33.06,33.06,33.06,100
331,33.05,33.05,33.05,33.05,100
333,33.02,33.02,33.02,33.02,100
334,33.02,33.02,33.02,33.02,400
335,33.03,33.03,33.03,33.03,100
336,33.03,33.03,33.03,33.03,300
337,33.01,33.03,33.01,33.03,400
339,33,33.01,33,33.01,800
340,33,33,33,33,100
341,33.01,33.01,33.01,33.01,2377
342,33.02,33.02,33.02,33.02,100
344,33.02,33.02,33.02,33.02,100
345,33.02,33.02,33.02,33.02,100
346,33.03,33.03,33.03,33.03,200
347,33.04,33.04,33.04,33.04,100
351,33.03,33.03,33.03,33.03,100
353,33.03,33.03,33.03,33.03,100
354,33.03,33.03,33.03,33.03,100
355,33.04,33.04,33.04,33.04,100
357,33.05,33.05,33.05,33.05,100
358,33.04,33.04,33.04,33.04,100
359,33.04,33.04,33.04,33.04,100
362,33.01,33.03,33.01,33.03,1300
379,33.02,33.02,33.02,33.02,852
381,33.02,33.02,33.02,33.02,100
a1425652200,33.14,33.14,33.14,33.14,5587
1,33.05,33.06,33.05,33.06,200
7,33.02,33.02,33.02,33.02,300
12,33.019,33.019,33.019,33.019,200
20,33.01,33.01,33.01,33.01,100
24,32.97,32.97,32.97,32.97,1369
32,33.07,33.07,33.07,33.07,500
45,33.02,33.02,33.02,33.02,500
46,33.01,33.01,33.01,33.01,500
48,33.02,33.02,33.02,33.02,922
58,33.04,33.04,33.04,33.04,300
69,33.03,33.03,33.03,33.03,100
78,33.03,33.03,33.03,33.03,700
99,32.9,32.9,32.9,32.9,300
107,32.89,32.89,32.89,32.89,100
123,32.8,32.8,32.8,32.8,280
127,32.8,32.81,32.8,32.81,4100
155,32.82,32.82,32.82,32.82,120
217,32.73,32.73,32.73,32.73,100
241,32.7,32.7,32.7,32.7,400
258,32.67,32.67,32.67,32.67,100
308,32.67,32.68,32.67,32.68,1000
322,32.65,32.65,32.64,32.64,600
330,32.64,32.64,32.64,32.64,300
350,32.67,32.67,32.67,32.67,153
370,32.62,32.62,32.62,32.62,1500
371,32.61,32.61,32.61,32.61,699
372,32.61,32.61,32.61,32.61,175
374,32.6,32.6,32.6,32.6,100
375,32.6,32.6,32.6,32.6,3570
381,32.6,32.61,32.6,32.61,1200
382,32.6,32.61,32.6,32.61,200
384,32.62,32.62,32.62,32.62,100
385,32.62,32.63,32.62,32.62,918
386,32.64,32.64,32.64,32.64,100
390,32.65,32.65,32.65,32.65,271
TIMEZONE_OFFSET=-240
a1425907800,32.81,32.81,32.81,32.81,7290
9,32.68,32.68,32.68,32.68,1731
74,32.73,32.73,32.73,32.73,1450
76,32.72,32.72,32.72,32.72,200
107,32.74,32.74,32.74,32.74,100
136,32.78,32.78,32.78,32.78,500
144,32.74,32.74,32.74,32.74,100
222,32.78,32.78,32.78,32.78,400
225,32.79,32.79,32.79,32.79,100
228,32.77,32.78,32.77,32.78,400
269,32.88,32.89,32.88,32.89,1200
271,32.87,32.87,32.87,32.87,400
281,32.85,32.85,32.85,32.85,300
282,32.84,32.84,32.84,32.84,300
297,32.8,32.81,32.8,32.81,900
303,32.78,32.78,32.78,32.78,100
320,32.76,32.76,32.76,32.76,100
353,32.81,32.81,32.81,32.81,100
375,32.81,32.81,32.81,32.81,800
385,32.83,32.83,32.83,32.83,100
388,32.81,32.81,32.81,32.81,100
390,32.8,32.8,32.8,32.8,309
a1425994200,32.6,32.6,32.6,32.6,7483
1,32.6,32.6,32.6,32.6,1757
