EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1424961000,33.14,33.14,33.14,33.14,1863
26,33.15,33.15,33.15,33.15,500
61,33.139,33.139,33.139,33.139,200
66,33.17,33.17,33.17,33.17,500
80,33.19,33.19,33.19,33.19,100
227,33.279,33.279,33.279,33.279,200
260,33.26,33.26,33.26,33.26,300
286,33.21,33.21,33.21,33.21,100
300,33.17,33.17,33.17,33.17,600
331,33.13,33.13,33.13,33.13,500
363,33.23,33.23,33.23,33.23,400
a1425047400,33.25,33.25,33.25,33.25,18799
1,33.25,33.25,33.25,33.25,811
11,33.21,33.21,33.21,33.21,1200
16,33.13,33.13,33.13,33.13,900
29,33.19,33.19,33.19,33.19,100
36,33.27,33.27,33.27,33.27,100
43,33.24,33.24,33.24,33.24,100
50,33.23,33.23,33.23,33.23,100
52,33.229,33.229,33.229,33.229,200
57,33.26,33.26,33.26,33.26,100
64,33.27,33.27,33.27,33.27,100
65,33.26,33.26,33.26,33.26,200
68,33.26,33.27,33.26,33.27,1114
82,33.26,33.26,33.26,33.26,100
92,33.25,33.26,33.25,33.26,200
94,33.24,33.24,33.24,33.24,300
99,33.26,33.26,33.26,33.26,100
113,33.25,33.25,33.25,33.25,200
120,33.24,33.24,33.24,33.24,100
126,33.24,33.24,33.24,33.24,100
133,33.26,33.26,33.26,33.26,100
147,33.25,33.25,33.25,33.25,100
151,33.25,33.25,33.249,33.249,632
154,33.25,33.25,33.25,33.25,100
161,33.26,33.26,33.26,33.26,100
168,33.26,33.26,33.26,33.26,100
175,33.27,33.27,33.27,33.27,100
182,33.28,33.28,33.28,33.28,100
189,33.27,33.27,33.27,33.27,100
195,33.26,33.26,33.26,33.26,100
202,33.25,33.25,33.25,33.25,100
209,33.24,33.24,33.24,33.24,100
213,33.23,33.23,33.23,33.23,1100
216,33.23,33.23,33.23,33.23,100
223,33.24,33.24,33.24,33.24,100
230,33.22,33.22,33.22,33.22,100
237,33.205,33.205,33.205,33.205,100
244,33.205,33.205,33.205,33.205,100
245,33.2,33.2,33.2,33.2,200
251,33.18,33.18,33.18,33.18,100
258,33.18,33.18,33.18,33.18,100
265,33.19,33.19,33.19,33.19,100
271,33.19,33.19,33.19,33.19,100
278,33.19,33.19,33.19,33.19,200
280,33.18,33.18,33.18,33.18,500
285,33.155,33.16,33.155,33.16,300
291,33.15,33.15,33.15,33.15,200
292,33.15,33.15,33.15,33.15,100
299,33.15,33.15,33.15,33.15,100
302,33.14,33.14,33.14,33.14,100
303,33.13,33.13,33.13,33.13,100
306,33.15,33.15,33.15,33.15,100
310,33.13,33.13,33.13,33.13,100
316,33.09,33.09,33.09,33.09,500
322,33.11,33.11,33.11,33.11,7387
327,33.1,33.1,33.1,33.1,100
334,33.08,33.08,33.08,33.08,100
340,33.09,33.09,33.09,33.09,100
343,33.08,33.08,33.08,33.08,300
347,33.09,33.09,33.09,33.09,100
352,33.1,33.1,33.1,33.1,222
354,33.11,33.11,33.11,33.11,100
361,33.12,33.12,33.12,33.12,100
368,33.11,33.11,33.11,33.11,100
371,33.08,33.08,33.08,33.08,280
377,33.08,33.08,33.08,33.08,500
385,33.05,33.07,33.05,33.07,340
386,33.06,33.06,33.06,33.06,100
389,33.08,33.08,33.08,33.08,226
390,33.09,33.09,33.09,33.09,175
a1425306600,33.13,33.13,33.13,33.13,5361
15,33.16,33.16,33.15,33.15,12300
39,33.27,33.27,33.27,33.27,2400
42,33.3,33.3,33.3,33.3,100
53,33.329,33.329,33.329,33.329,200
62,33.34,33.34,33.34,33.34,300
123,33.36,33.36,33.36,33.36,295
132,33.349,33.349,33.349,33.349,100
150,33.34,33.34,33.34,33.34,500
191,33.24,33.24,33.24,33.24,700
243,33.24,33.24,33.24,33.24,100
283,33.31,33.31,33.31,33.31,100
286,33.31,33.31,33.31,33.31,100
288,33.33,33.33,33.32,33.32,19040
307,33.3,33.3,33.3,33.3,100
338,33.34,33.34,33.34,33.34,100
348,33.36,33.36,33.36,33.36,549
350,33.37,33.37,33.37,33.37,500
351,33.37,33.37,33.37,33.37,200
356,33.37,33.37,33.37,33.37,500
362,33.37,33.37,33.37,33.37,400
364,33.38,33.38,33.37,33.37,11887
368,33.38,33.38,33.38,33.38,400
372,33.38,33.38,33.38,33.38,400
382,33.41,33.41,33.41,33.41,450
387,33.41,33.41,33.41,33.41,400
389,33.41,33.41,33.41,33.41,450
390,33.42,33.42,33.42,33.42,443
a1425393000,33.41,33.41,33.41,33.41,15720
1,33.35,33.35,33.35,33.35,1200
3,33.3,33.3,33.3,33.3,1000
5,33.3,33.3,33.3,33.3,2102
11,33.32,33.32,33.32,33.32,900
34,33.26,33.26,33.26,33.26,100
44,33.27,33.27,33.27,33.27,100
56,33.2,33.21,33.2,33.21,200
61,33.2,33.2,33.2,33.2,1600
63,33.2,33.2,33.2,33.2,300
67,33.2,33.2,33.2,33.2,500
69,33.209,33.209,33.209,33.209,200
73,33.22,33.22,33.22,33.22,900
80,33.22,33.22,33.22,33.22,1500
82,33.19,33.2,33.19,33.2,290
96,33.15,33.15,33.15,33.15,1700
102,33.13,33.13,33.13,33.13,300
104,33.11,33.11,33.11,33.11,600
111,33.125,33.125,33.125,33.125,500
113,33.13,33.13,33.13,33.13,1500
121,33.1,33.1,33.1,33.1,100
125,33.08,33.08,33.08,33.08,600
131,33.06,33.06,33.06,33.06,1700
132,33.05,33.05,33.05,33.05,100
138,33.04,33.04,33.04,33.04,500
140,33.05,33.05,33.05,33.05,1600
146,33.11,33.11,33.11,33.11,1700
149,33.1,33.1,33.1,33.1,115
154,33.09,33.09,33.09,33.09,100
159,33.09,33.09,33.09,33.09,2100
172,33.06,33.07,33.06,33.07,1000
176,33.05,33.05,33.05,33.05,600
181,33.03,33.03,33.03,33.03,1700
187,33.06,33.06,33.06,33.06,1600
193,33.06,33.06,33.06,33.06,500
194,33.06,33.06,33.06,33.06,100
196,33.06,33.06,33.06,33.06,400
199,33.05,33.05,33.05,33.05,300
204,33.07,33.07,33.07,33.07,1700
209,33.11,33.11,33.11,33.11,1600
214,33.12,33.12,33.12,33.12,600
222,33.12,33.12,33.12,33.12,300
224,33.11,33.11,33.11,33.11,1500
233,33.11,33.11,33.11,33.11,2100
239,33.11,33.11,33.11,33.11,700
241,33.11,33.11,33.11,33.11,400
242,33.11,33.11,33.11,33.11,1500
